"id","author","created","text","parent"
"48365093","WarmWash","2026-06-02T02:08:01Z","Burning furniture will in fact keep you warm, and if you can do it long enough, your kids will wonder why others toil with trees and axes so much.<p>The downside of course, is that it is much <i>much</i> harder to go back to chopping wood once that furniture is all gone. Especially if all you ever knew was burning furniture.","48363688"
"48365039","sunnybeetroot","2026-06-02T02:01:39Z","Because it’s not there on mobile","48363486"
"48365015","lesuorac","2026-06-02T01:58:52Z","Yeah it&#x27;s not fun.<p>Vanguard offers a bunch of ETFs so I can&#x27;t exactly give you a solid answer.<p>One of their specific etfs (VTI) tracks the CRSP US Total Market index [1] which has its methodology described here [2] and looking at the &quot;CRSP INVESTABILITY SCREEN SUMMARY&quot; it sounds to me like SpaceX would be added to VTI after 5 days (&quot;Seasoning of New Securities -  5 days or greater if satisfying the fast-track IPO rules&quot;.<p>[1]: &quot;The Fund employs an indexing investment approach designed to track the
performance of the CRSP US Total Market Index (the “Target Index”), which
represents 100% of the investable U.S. stock market,&quot;  <a href=""https:&#x2F;&#x2F;personal1.vanguard.com&#x2F;pub&#x2F;Pdf&#x2F;sp970.pdf"" rel=""nofollow"">https:&#x2F;&#x2F;personal1.vanguard.com&#x2F;pub&#x2F;Pdf&#x2F;sp970.pdf</a><p>[2]: <a href=""https:&#x2F;&#x2F;www.crsp.org&#x2F;wp-content&#x2F;uploads&#x2F;guides&#x2F;CRSP_Market_Indexes_Methodology_Guide.pdf"" rel=""nofollow"">https:&#x2F;&#x2F;www.crsp.org&#x2F;wp-content&#x2F;uploads&#x2F;guides&#x2F;CRSP_Market_I...</a>","48364150"
"48364993","scoofy","2026-06-02T01:56:04Z","Yea, that&#x27;s easy to say now.<p>I was a relatively early investor (2008), but I was very hesitant early on because Microsoft was building an integrated search function, which became Windows Live Search, which became Bing. I definitely remember it took me to the beginning of the financial crisis to finally decide that it was going nowhere. I suspect it was the development of Google Maps that changed my mind.","48362748"
"48364944","Steering","2026-06-02T01:50:54Z","sell the dream at the peak, then sell the explanation on the way down","48358646"
"48364934","k2xl","2026-06-02T01:49:21Z","I would assume that the outcome probability of people selling other companies to buy Anthropic&#x2F;SpaceX&#x2F;OpenAI has been priced in already.","48360075"
"48364933","bsder","2026-06-02T01:49:18Z","I stand corrected.  Thanks for all your work.<p>And I still miss the AltaVista illustrated diagram (Java Applet) that would allow you to drill down and specialize the search results.  No modern search has ever matched that, again.","48364324"
"48364927","amanaplanacanal","2026-06-02T01:48:35Z","If we are still likely to see rising interest rates, bonds feel like a bad idea.","48360570"
"48364865","amanaplanacanal","2026-06-02T01:39:18Z","I would guess fallout from the straight of hormuz closure. I don&#x27;t think we have seen the full effects of that yet. Between climbing inflation, and a possible recession, we could definitely see the bubble finally pop.","48360157"
"48364862","lmm","2026-06-02T01:39:07Z","&gt; Who invests in an index fund for &quot;moonshots&quot;?<p>&gt; Everyone I know who invests in an index fund is doing so to mitigate the risks of things like &quot;moonshots&quot; which are typically much riskier investments.<p>The whole point of an index fund is to capture the growth of the whole market. If you wanted low risk you&#x27;d be buying bonds.","48363945"
"48364854","lmm","2026-06-02T01:37:48Z","&gt; The investors who wanted to take more risk could do that.<p>What? How? By moving out of Massachusetts? I could understand banning such a speculative stock for e.g. pension funds or whatever, but blocking private individuals from buying with their own money seems insane.","48362432"
"48364735","derwiki","2026-06-02T01:19:42Z","If you have BrokerageLink, you can park your 401k in anything you want","48363963"
"48364694","dogwalker5000","2026-06-02T01:14:41Z","Amazon has assets in the form of warehouses though. What assets do these AI companies have other than rapidly depreciating GPUs.","48363455"
"48364691","King-Aaron","2026-06-02T01:14:04Z","It&#x27;s like the very first golden rule, do not expect competency from another human being.","48363888"
"48364683","randbyte","2026-06-02T01:13:13Z","Not after the insiders and investors milked most of the upsides already. As of today:<p>- ABNB right at around their IPO price. 
- Uber is 75% up… after 6 years. 
- SNOW came back to break even only after the recent surge.","48361081"
"48364652","thunky","2026-06-02T01:09:20Z","If your 401k offers it you could look into an &quot;equity income&quot; fund. Not for the dividend income per se, but because these a are big stable companies with a track record of paying dividends.<p>Also, consumer staples are known for holding their ground during downturns.<p>But the general advice given is to accept that you probably can&#x27;t beat the market so don&#x27;t overthink it and just own the whole thing.<p>Also keep an eye on expense ratios. A lot of 401k providers gouge you on anything but the basic funds.  So you&#x27;d have to beat the market by that much more.","48363963"
"48364639","gopher_space","2026-06-02T01:08:12Z","There&#x27;s the &quot;how much of my company exists in a black box controlled by some asshole&quot; angle as well, but in my mind the biggest issue is that current models are already capable of saturating a dev in like four hours.","48363441"
"48364577","s1artibartfast","2026-06-02T00:59:48Z","I was under the impression NASDAQ pursued it for their exchange business, not index revenue, but I suppose it could be both.<p>In addition to the IPO, I expect there will be a lot of option and derivative services","48362146"
"48364528","randbyte","2026-06-02T00:54:25Z","By the time they drop and being kicked out (if they do) the insiders already dumped their shares. Not to mention now all the index fund holders will rush to sell creating even more price pressure.<p>Shorting (itself being a bad idea for regular investors) also breaks the mantra of passive investing, 401k or otherwise. It’s almost impossible to short right after IPO because of low float and high margin risk.<p>These mega IPOs are just using passive investors as backstop.","48361788"
